#ID,Date,"Cleared Date",Description,Status,"Sub Total",Tax,"Money in","Money out"
700903057,29/Sep/2025,29/Sep/2025,"Payment withdrawal",Cleared,-£243.39,Free,,-£243.39
696491825,19/Sep/2025,19/Sep/2025,"Payment withdrawal",Cleared,-£442.85,Free,,-£442.85
694730211,15/Sep/2025,15/Sep/2025,"Payment withdrawal",Cleared,-£146.95,Free,,-£146.95
692138877,09/Sep/2025,09/Sep/2025,"Payment withdrawal",Cleared,-£332.22,Free,,-£332.22
687524122,30/Aug/2025,10/Sep/2025,"Owner fee payment for #93545484",Cleared,-£1.19,-£0.24,,-£1.43
687524116,30/Aug/2025,10/Sep/2025,"Payment for booking #93545484",Cleared,£47.50,Free,£47.50,
687522024,30/Aug/2025,03/Sep/2025,"Owner fee payment for #93545250",Cleared,-£1.19,-£0.24,,-£1.43
687522020,30/Aug/2025,03/Sep/2025,"Payment for booking #93545250",Cleared,£47.50,Free,£47.50,
686483712,28/Aug/2025,30/Aug/2025,"Owner fee payment for #93431014",Cleared,-£1.13,-£0.23,,-£1.35
686483708,28/Aug/2025,30/Aug/2025,"Payment for booking #93431014",Cleared,£45.00,Free,£45.00,
686318564,27/Aug/2025,30/Aug/2025,"Owner fee payment for #93410728",Cleared,-£1.13,-£0.23,,-£1.35
686318560,27/Aug/2025,30/Aug/2025,"Payment for booking #93410728",Cleared,£45.00,Free,£45.00,
685526083,26/Aug/2025,26/Aug/2025,"Payment withdrawal",Cleared,-£568.65,Free,,-£568.65
685203138,25/Aug/2025,05/Sep/2025,"Owner fee payment for #93286411",Cleared,-£1.13,-£0.23,,-£1.35
685203134,25/Aug/2025,05/Sep/2025,"Payment for booking #93286411",Cleared,£45.00,Free,£45.00,
685124816,25/Aug/2025,30/Aug/2025,"Owner fee payment for #93278207",Cleared,-£1.40,-£0.28,,-£1.68
685124812,25/Aug/2025,30/Aug/2025,"Payment for booking #93278207",Cleared,£56.00,Free,£56.00,
684375316,24/Aug/2025,15/Sep/2025,"Owner fee payment for #93192855",Cleared,-£1.40,-£0.28,,-£1.68
684375312,24/Aug/2025,15/Sep/2025,"Payment for booking #93192855",Cleared,£56.00,Free,£56.00,
684366554,24/Aug/2025,15/Sep/2025,"Owner fee payment for #93191810",Cleared,-£1.40,-£0.28,,-£1.68
684366548,24/Aug/2025,15/Sep/2025,"Payment for booking #93191810",Cleared,£56.00,Free,£56.00,
684364636,24/Aug/2025,15/Sep/2025,"Owner fee payment for #93191582",Cleared,-£1.40,-£0.28,,-£1.68
684364632,24/Aug/2025,15/Sep/2025,"Payment for booking #93191582",Cleared,£56.00,Free,£56.00,
684182130,24/Aug/2025,24/Sep/2025,"Owner fee payment for #89852637",Cleared,-£3.63,-£0.73,,-£4.36
684182126,24/Aug/2025,24/Sep/2025,"Payment for booking #89852637",Cleared,£145.32,Free,£145.32,
683573460,23/Aug/2025,25/Aug/2025,"Owner fee payment for #93101684",Cleared,-£1.13,-£0.23,,-£1.35
683573456,23/Aug/2025,25/Aug/2025,"Payment for booking #93101684",Cleared,£45.00,Free,£45.00,
683507952,22/Aug/2025,24/Aug/2025,"Owner fee payment for #93094456",Cleared,-£1.13,-£0.23,,-£1.35
683507948,22/Aug/2025,24/Aug/2025,"Payment for booking #93094456",Cleared,£45.00,Free,£45.00,
683330870,22/Aug/2025,24/Aug/2025,"Owner fee payment for #93076404",Cleared,-£1.13,-£0.23,,-£1.35
683330866,22/Aug/2025,24/Aug/2025,"Payment for booking #93076404",Cleared,£45.00,Free,£45.00,
683289720,22/Aug/2025,22/Aug/2025,"Payment withdrawal",Cleared,-£128.04,Free,,-£128.04
682988020,22/Aug/2025,22/Sep/2025,"Owner fee payment for #86167952",Cleared,-£2.64,-£0.53,,-£3.17
682988016,22/Aug/2025,22/Sep/2025,"Payment for booking #86167952",Cleared,£105.60,Free,£105.60,
682958024,21/Aug/2025,24/Aug/2025,"Owner fee payment for #93032983",Cleared,-£1.38,-£0.28,,-£1.65
682958020,21/Aug/2025,24/Aug/2025,"Payment for booking #93032983",Cleared,£55.00,Free,£55.00,
681125720,18/Aug/2025,18/Aug/2025,"Payment withdrawal",Cleared,-£113.05,Free,,-£113.05
680868086,18/Aug/2025,18/Sep/2025,"Owner fee payment for #86479381",Cleared,-£3.30,-£0.66,,-£3.96
680868082,18/Aug/2025,18/Sep/2025,"Payment for booking #86479381",Cleared,£132.00,Free,£132.00,
680419802,17/Aug/2025,17/Sep/2025,"Owner fee payment for #89434365",Cleared,-£2.92,-£0.58,,-£3.50
680419798,17/Aug/2025,17/Sep/2025,"Payment for booking #89434365",Cleared,£116.55,Free,£116.55,
678440318,13/Aug/2025,13/Aug/2025,"Payment withdrawal",Cleared,-£178.48,Free,,-£178.48
678168246,13/Aug/2025,13/Sep/2025,"Owner fee payment for #87701404",Cleared,-£2.60,-£0.52,,-£3.12
678168242,13/Aug/2025,13/Sep/2025,"Payment for booking #87701404",Cleared,£104.00,Free,£104.00,
677373072,11/Aug/2025,11/Aug/2025,"Payment withdrawal",Cleared,-£135.80,Free,,-£135.80
675796938,08/Aug/2025,08/Aug/2025,"Payment withdrawal",Cleared,-£139.68,Free,,-£139.68
675003534,07/Aug/2025,07/Sep/2025,"Owner fee payment for #85883842",Cleared,-£2.60,-£0.52,,-£3.12
675003530,07/Aug/2025,07/Sep/2025,"Payment for booking #85883842",Cleared,£104.00,Free,£104.00,
674199096,05/Aug/2025,05/Aug/2025,"Payment withdrawal",Cleared,-£63.05,Free,,-£63.05
672795824,02/Aug/2025,02/Aug/2025,"Payment withdrawal",Cleared,-£87.30,Free,,-£87.30
671673918,31/Jul/2025,31/Jul/2025,"Payment withdrawal",Cleared,-£109.63,Free,,-£109.63
671075274,30/Jul/2025,26/Jul/2025,"Owner fee payment for #91346031",Cleared,-£0.83,-£0.17,,-£0.99
671075270,30/Jul/2025,26/Jul/2025,"Payment for booking #91346031",Cleared,£33.02,Free,£33.02,
670629576,29/Jul/2025,29/Jul/2025,"Payment withdrawal",Cleared,-£155.20,Free,,-£155.20
670071564,28/Jul/2025,10/Aug/2025,"Owner fee payment for #91595658",Cleared,-£1.00,-£0.20,,-£1.20
670071556,28/Jul/2025,10/Aug/2025,"Payment for booking #91595658",Cleared,£40.00,Free,£40.00,
670033245,28/Jul/2025,08/Aug/2025,"Owner fee payment for #91591329",Cleared,-£1.50,-£0.30,,-£1.80
670033238,28/Jul/2025,08/Aug/2025,"Payment for booking #91591329",Cleared,£60.00,Free,£60.00,
669862220,27/Jul/2025,02/Aug/2025,"Owner fee payment for #91570281",Cleared,-£1.00,-£0.20,,-£1.20
669862216,27/Jul/2025,02/Aug/2025,"Payment for booking #91570281",Cleared,£40.00,Free,£40.00,
669844708,27/Jul/2025,12/Aug/2025,"Owner fee payment for #91568373",Cleared,-£1.00,-£0.20,,-£1.20
669844704,27/Jul/2025,12/Aug/2025,"Payment for booking #91568373",Cleared,£40.00,Free,£40.00,
668659237,25/Jul/2025,25/Jul/2025,"Payment withdrawal",Cleared,-£87.30,Free,,-£87.30
668351286,24/Jul/2025,03/Aug/2025,"Owner fee payment for #91401694",Cleared,-£0.63,-£0.13,,-£0.75
668351282,24/Jul/2025,03/Aug/2025,"Payment for booking #91401694",Cleared,£25.00,Free,£25.00,
667863106,24/Jul/2025,24/Aug/2025,"Owner fee payment for #89852637",Cleared,-£3.63,-£0.73,,-£4.36
667863102,24/Jul/2025,24/Aug/2025,"Payment for booking #89852637",Cleared,£145.32,Free,£145.32,
667851682,23/Jul/2025,26/Jul/2025,"Owner fee payment for #91346031",Cleared,-£1.00,-£0.20,,-£1.20
667851678,23/Jul/2025,26/Jul/2025,"Payment for booking #91346031",Cleared,£40.00,Free,£40.00,
667611646,23/Jul/2025,23/Jul/2025,"Payment withdrawal",Cleared,-£102.43,Free,,-£102.43
667461954,23/Jul/2025,27/Jul/2025,"REFUND: Owner fee payment for #90075444",Cleared,£3.00,£0.60,£3.60,
667461950,23/Jul/2025,27/Jul/2025,"Payment for booking #90075444",Cleared,-£120.00,Free,-£120.00,
666891928,22/Jul/2025,30/Jul/2025,"Owner fee payment for #91238833",Cleared,-£1.00,-£0.20,,-£1.20
666891924,22/Jul/2025,30/Jul/2025,"Payment for booking #91238833",Cleared,£40.00,Free,£40.00,
666885450,22/Jul/2025,22/Aug/2025,"Owner fee payment for #86167952",Cleared,-£2.64,-£0.53,,-£3.17
666885446,22/Jul/2025,22/Aug/2025,"Payment for booking #86167952",Cleared,£105.60,Free,£105.60,
666815556,21/Jul/2025,27/Jul/2025,"Owner fee payment for #91231313",Cleared,-£3.00,-£0.60,,-£3.60
666815552,21/Jul/2025,27/Jul/2025,"Payment for booking #91231313",Cleared,£120.00,Free,£120.00,
666668206,21/Jul/2025,21/Jul/2025,"Payment withdrawal",Cleared,-£502.99,Free,,-£502.99
666411542,20/Jul/2025,01/Aug/2025,"Owner fee payment for #91185529",Cleared,-£1.25,-£0.25,,-£1.50
666411538,20/Jul/2025,01/Aug/2025,"Payment for booking #91185529",Cleared,£50.00,Free,£50.00,
665523260,18/Jul/2025,01/Aug/2025,"Owner fee payment for #91086958",Cleared,-£1.00,-£0.20,,-£1.20
665523256,18/Jul/2025,01/Aug/2025,"Payment for booking #91086958",Cleared,£40.00,Free,£40.00,
665079646,18/Jul/2025,18/Aug/2025,"Owner fee payment for #86479381",Cleared,-£3.30,-£0.66,,-£3.96
665079642,18/Jul/2025,18/Aug/2025,"Payment for booking #86479381",Cleared,£132.00,Free,£132.00,
665064480,17/Jul/2025,16/Sep/2025,"Owner fee payment for #91035475",Cleared,-£1.00,-£0.20,,-£1.20
665064476,17/Jul/2025,16/Sep/2025,"Payment for booking #91035475",Cleared,£40.00,Free,£40.00,
664626210,17/Jul/2025,17/Aug/2025,"Owner fee payment for #89434365",Cleared,-£2.92,-£0.58,,-£3.50
664626206,17/Jul/2025,17/Aug/2025,"Payment for booking #89434365",Cleared,£116.55,Free,£116.55,
664374150,16/Jul/2025,06/Aug/2025,"Owner fee payment for #90959895",Cleared,-£1.00,-£0.20,,-£1.20
664374146,16/Jul/2025,06/Aug/2025,"Payment for booking #90959895",Cleared,£40.00,Free,£40.00,
664315414,16/Jul/2025,18/Jul/2025,"Owner fee payment for #90953256",Cleared,-£3.00,-£0.60,,-£3.60
664315410,16/Jul/2025,18/Jul/2025,"Payment for booking #90953256",Cleared,£120.00,Free,£120.00,
663965134,15/Jul/2025,15/Jul/2025,"Payment withdrawal",Cleared,-£217.28,Free,,-£217.28
663640522,14/Jul/2025,17/Jul/2025,"Owner fee payment for #90876322",Cleared,-£1.00,-£0.20,,-£1.20
663640518,14/Jul/2025,17/Jul/2025,"Payment for booking #90876322",Cleared,£40.00,Free,£40.00,
663302976,13/Jul/2025,16/Jul/2025,"Owner fee payment for #90837795",Cleared,-£2.00,-£0.40,,-£2.40
663302972,13/Jul/2025,16/Jul/2025,"Payment for booking #90837795",Cleared,£80.00,Free,£80.00,
662914038,13/Jul/2025,13/Aug/2025,"Owner fee payment for #87701404",Cleared,-£2.60,-£0.52,,-£3.12
662914034,13/Jul/2025,13/Aug/2025,"Payment for booking #87701404",Cleared,£104.00,Free,£104.00,
662388276,11/Jul/2025,24/Jul/2025,"Owner fee payment for #90736616",Cleared,-£1.25,-£0.25,,-£1.50
662388272,11/Jul/2025,24/Jul/2025,"Payment for booking #90736616",Cleared,£50.00,Free,£50.00,
661896326,11/Jul/2025,23/Jul/2025,"Owner fee payment for #90681459",Cleared,-£1.00,-£0.20,,-£1.20
661896322,11/Jul/2025,23/Jul/2025,"Payment for booking #90681459",Cleared,£40.00,Free,£40.00,
661896104,11/Jul/2025,18/Jul/2025,"Owner fee payment for #90681434",Cleared,-£0.75,-£0.15,,-£0.90
661896100,11/Jul/2025,18/Jul/2025,"Payment for booking #90681434",Cleared,£30.00,Free,£30.00,
661643558,10/Jul/2025,10/Jul/2025,"Payment withdrawal",Cleared,-£494.31,Free,,-£494.31
661390446,09/Jul/2025,13/Jul/2025,"Owner fee payment for #90625478",Cleared,-£1.00,-£0.20,,-£1.20
661390442,09/Jul/2025,13/Jul/2025,"Payment for booking #90625478",Cleared,£40.00,Free,£40.00,
661351640,09/Jul/2025,12/Jul/2025,"Owner fee payment for #90621294",Cleared,-£1.00,-£0.20,,-£1.20
661351636,09/Jul/2025,12/Jul/2025,"Payment for booking #90621294",Cleared,£40.00,Free,£40.00,
660497826,08/Jul/2025,11/Jul/2025,"REFUND: Owner fee payment for #90527304",Cleared,£0.75,£0.15,£0.90,
660497822,08/Jul/2025,11/Jul/2025,"Payment for booking #90527304",Cleared,-£30.00,Free,-£30.00,
660496400,08/Jul/2025,11/Jul/2025,"Owner fee payment for #90527304",Cleared,-£0.75,-£0.15,,-£0.90
660496396,08/Jul/2025,11/Jul/2025,"Payment for booking #90527304",Cleared,£30.00,Free,£30.00,
660141980,07/Jul/2025,08/Aug/2025,"Owner fee payment for #90489498",Cleared,-£1.00,-£0.20,,-£1.20
660141976,07/Jul/2025,08/Aug/2025,"Payment for booking #90489498",Cleared,£40.00,Free,£40.00,
660021358,07/Jul/2025,07/Aug/2025,"Owner fee payment for #85883842",Cleared,-£2.60,-£0.52,,-£3.12
660021354,07/Jul/2025,07/Aug/2025,"Payment for booking #85883842",Cleared,£104.00,Free,£104.00,
659960952,06/Jul/2025,11/Jul/2025,"Owner fee payment for #90467952",Cleared,-£1.00,-£0.20,,-£1.20
659960948,06/Jul/2025,11/Jul/2025,"Payment for booking #90467952",Cleared,£40.00,Free,£40.00,
658868540,04/Jul/2025,08/Jul/2025,"Owner fee payment for #90349569",Cleared,-£1.25,-£0.25,,-£1.50
658868536,04/Jul/2025,08/Jul/2025,"Payment for booking #90349569",Cleared,£50.00,Free,£50.00,
658673388,03/Jul/2025,29/Jul/2025,"Owner fee payment for #90326236",Cleared,-£1.00,-£0.20,,-£1.20
658673384,03/Jul/2025,29/Jul/2025,"Payment for booking #90326236",Cleared,£40.00,Free,£40.00,
658148594,02/Jul/2025,09/Jul/2025,"Owner fee payment for #90269065",Cleared,-£1.00,-£0.20,,-£1.20
658148590,02/Jul/2025,09/Jul/2025,"Payment for booking #90269065",Cleared,£40.00,Free,£40.00,
657535912,01/Jul/2025,01/Jul/2025,"Payment withdrawal",Cleared,-£48.50,Free,,-£48.50
657069800,30/Jun/2025,30/Jun/2025,"Payment withdrawal",Cleared,-£139.68,Free,,-£139.68
656411120,28/Jun/2025,27/Jul/2025,"Owner fee payment for #90075444",Cleared,-£3.00,-£0.60,,-£3.60
656411116,28/Jun/2025,27/Jul/2025,"Payment for booking #90075444",Cleared,£120.00,Free,£120.00,
655192958,26/Jun/2025,26/Jun/2025,"Payment withdrawal",Cleared,-£87.30,Free,,-£87.30
654861684,25/Jun/2025,30/Jun/2025,"Owner fee payment for #89905029",Cleared,-£1.25,-£0.25,,-£1.50
654861680,25/Jun/2025,30/Jun/2025,"Payment for booking #89905029",Cleared,£50.00,Free,£50.00,
654482867,24/Jun/2025,29/Jun/2025,"Owner fee payment for #89861942",Cleared,-£1.00,-£0.20,,-£1.20
654482859,24/Jun/2025,29/Jun/2025,"Payment for booking #89861942",Cleared,£40.00,Free,£40.00,
654382658,24/Jun/2025,24/Aug/2025,"Owner fee payment for #89852637",Cleared,-£3.63,-£0.73,,-£4.36
654382654,24/Jun/2025,24/Aug/2025,"Payment for booking #89852637",Cleared,£145.32,Free,£145.32,
654290444,24/Jun/2025,24/Jun/2025,"Payment withdrawal",Cleared,-£170.33,Free,,-£170.33
653278974,22/Jun/2025,22/Jul/2025,"Owner fee payment for #86167952",Cleared,-£2.64,-£0.53,,-£3.17
653278970,22/Jun/2025,22/Jul/2025,"Payment for booking #86167952",Cleared,£105.60,Free,£105.60,
653257582,21/Jun/2025,12/Aug/2025,"Owner fee payment for #89727562",Cleared,-£1.00,-£0.20,,-£1.20
653257578,21/Jun/2025,12/Aug/2025,"Payment for booking #89727562",Cleared,£40.00,Free,£40.00,
652588286,20/Jun/2025,23/Jun/2025,"Owner fee payment for #89655332",Cleared,-£1.75,-£0.35,,-£2.10
652588282,20/Jun/2025,23/Jun/2025,"Payment for booking #89655332",Cleared,£70.00,Free,£70.00,
652492066,20/Jun/2025,20/Jun/2025,"Payment withdrawal",Cleared,-£157.14,Free,,-£157.14
652271210,20/Jun/2025,23/Jun/2025,"Owner fee payment for #89619248",Cleared,-£0.50,-£0.10,,-£0.60
652271206,20/Jun/2025,23/Jun/2025,"Payment for booking #89619248",Cleared,£20.00,Free,£20.00,
652240390,19/Jun/2025,22/Jun/2025,"Owner fee payment for #89615707",Cleared,-£0.75,-£0.15,,-£0.90
652240386,19/Jun/2025,22/Jun/2025,"Payment for booking #89615707",Cleared,£30.00,Free,£30.00,
652169726,19/Jun/2025,22/Jun/2025,"Owner fee payment for #89608437",Cleared,-£0.50,-£0.10,,-£0.60
652169722,19/Jun/2025,22/Jun/2025,"Payment for booking #89608437",Cleared,£20.00,Free,£20.00,
651556710,18/Jun/2025,18/Jun/2025,"Payment withdrawal",Cleared,-£201.76,Free,,-£201.76
651314150,18/Jun/2025,18/Jul/2025,"Owner fee payment for #86479381",Cleared,-£3.30,-£0.66,,-£3.96
651314146,18/Jun/2025,18/Jul/2025,"Payment for booking #86479381",Cleared,£132.00,Free,£132.00,
650962195,17/Jun/2025,22/Jun/2025,"Owner fee payment for #89475899",Cleared,-£0.50,-£0.10,,-£0.60
650962186,17/Jun/2025,22/Jun/2025,"Payment for booking #89475899",Cleared,£20.00,Free,£20.00,
650880564,17/Jun/2025,19/Jun/2025,"Owner fee payment for #89464713",Cleared,-£0.25,-£0.05,,-£0.30
650880560,17/Jun/2025,19/Jun/2025,"Payment for booking #89464713",Cleared,£10.00,Free,£10.00,
650867912,16/Jun/2025,19/Jun/2025,"Owner fee payment for #89463467",Cleared,-£0.25,-£0.05,,-£0.30
650867908,16/Jun/2025,19/Jun/2025,"Payment for booking #89463467",Cleared,£10.00,Free,£10.00,
650779006,16/Jun/2025,19/Jun/2025,"Owner fee payment for #89454945",Cleared,-£0.25,-£0.05,,-£0.30
650779002,16/Jun/2025,19/Jun/2025,"Payment for booking #89454945",Cleared,£10.00,Free,£10.00,
650585992,16/Jun/2025,16/Jul/2025,"Owner fee payment for #89434365",Cleared,-£2.92,-£0.58,,-£3.50
650585988,16/Jun/2025,16/Jul/2025,"Payment for booking #89434365",Cleared,£116.55,Free,£116.55,
650563444,16/Jun/2025,27/Jun/2025,"REFUND: Owner fee payment for #88090772",Cleared,£2.00,£0.40,£2.40,
650563440,16/Jun/2025,27/Jun/2025,"Payment for booking #88090772",Cleared,-£80.00,Free,-£80.00,
649135638,13/Jun/2025,13/Jul/2025,"Owner fee payment for #87701404",Cleared,-£2.60,-£0.52,,-£3.12
649135634,13/Jun/2025,13/Jul/2025,"Payment for booking #87701404",Cleared,£104.00,Free,£104.00,
647652225,09/Jun/2025,09/Jun/2025,"Payment withdrawal",Cleared,-£403.13,Free,,-£403.13
646644093,07/Jun/2025,07/Jul/2025,"Owner fee payment for #86076596",Cleared,-£2.64,-£0.53,,-£3.17
646644089,07/Jun/2025,07/Jul/2025,"Payment for booking #86076596",Cleared,£105.60,Free,£105.60,
646643493,07/Jun/2025,07/Jul/2025,"Owner fee payment for #85883842",Cleared,-£2.60,-£0.52,,-£3.12
646643489,07/Jun/2025,07/Jul/2025,"Payment for booking #85883842",Cleared,£104.00,Free,£104.00,
643402120,30/May/2025,30/May/2025,"Payment withdrawal",Cleared,-£38.80,Free,,-£38.80
642869834,29/May/2025,29/May/2025,"Payment withdrawal",Cleared,-£48.50,Free,,-£48.50
642367496,28/May/2025,28/May/2025,"Payment withdrawal",Cleared,-£223.10,Free,,-£223.10
641879098,27/May/2025,27/May/2025,"Payment withdrawal",Cleared,-£218.83,Free,,-£218.83
640060032,23/May/2025,06/Jun/2025,"Owner fee payment for #88274063",Cleared,-£1.00,-£0.20,,-£1.20
640060028,23/May/2025,06/Jun/2025,"Payment for booking #88274063",Cleared,£40.00,Free,£40.00,
639820136,22/May/2025,29/May/2025,"Owner fee payment for #88245836",Cleared,-£1.00,-£0.20,,-£1.20
639820132,22/May/2025,29/May/2025,"Payment for booking #88245836",Cleared,£40.00,Free,£40.00,
639424198,22/May/2025,22/Jun/2025,"Owner fee payment for #86167952",Cleared,-£2.64,-£0.53,,-£3.17
639424194,22/May/2025,22/Jun/2025,"Payment for booking #86167952",Cleared,£105.60,Free,£105.60,
638812254,20/May/2025,20/May/2025,"Payment withdrawal",Cleared,-£166.84,Free,,-£166.84
638578184,19/May/2025,25/May/2025,"Owner fee payment for #88107373",Cleared,-£1.50,-£0.30,,-£1.80
638578180,19/May/2025,25/May/2025,"Payment for booking #88107373",Cleared,£60.00,Free,£60.00,
638413102,19/May/2025,27/Jun/2025,"Owner fee payment for #88090772",Cleared,-£2.00,-£0.40,,-£2.40
638413098,19/May/2025,27/Jun/2025,"Payment for booking #88090772",Cleared,£80.00,Free,£80.00,
637820776,18/May/2025,18/Jun/2025,"Owner fee payment for #86479381",Cleared,-£3.30,-£0.66,,-£3.96
637820772,18/May/2025,18/Jun/2025,"Payment for booking #86479381",Cleared,£132.00,Free,£132.00,
636960786,16/May/2025,27/May/2025,"Owner fee payment for #87930685",Cleared,-£1.00,-£0.20,,-£1.20
636960782,16/May/2025,27/May/2025,"Payment for booking #87930685",Cleared,£40.00,Free,£40.00,
636780862,15/May/2025,04/Jun/2025,"Owner fee payment for #87909676",Cleared,-£0.75,-£0.15,,-£0.90
636780858,15/May/2025,04/Jun/2025,"Payment for booking #87909676",Cleared,£30.00,Free,£30.00,
636777740,15/May/2025,22/May/2025,"Owner fee payment for #87909424",Cleared,-£1.00,-£0.20,,-£1.20
636777736,15/May/2025,22/May/2025,"Payment for booking #87909424",Cleared,£40.00,Free,£40.00,
636770930,15/May/2025,04/Jun/2025,"Owner fee payment for #87908782",Cleared,-£0.75,-£0.15,,-£0.90
636770926,15/May/2025,04/Jun/2025,"Payment for booking #87908782",Cleared,£30.00,Free,£30.00,
636766528,15/May/2025,22/May/2025,"Owner fee payment for #87908329",Cleared,-£1.00,-£0.20,,-£1.20
636766524,15/May/2025,22/May/2025,"Payment for booking #87908329",Cleared,£40.00,Free,£40.00,
636758662,15/May/2025,22/May/2025,"REFUND: Owner fee payment for #87906501",Cleared,£1.00,£0.20,£1.20,
636758658,15/May/2025,22/May/2025,"Payment for booking #87906501",Cleared,-£40.00,Free,-£40.00,
636758458,15/May/2025,04/Jun/2025,"REFUND: Owner fee payment for #87906653",Cleared,£0.75,£0.15,£0.90,
636758454,15/May/2025,04/Jun/2025,"Payment for booking #87906653",Cleared,-£30.00,Free,-£30.00,
636750218,15/May/2025,04/Jun/2025,"Owner fee payment for #87906653",Cleared,-£0.75,-£0.15,,-£0.90
636750214,15/May/2025,04/Jun/2025,"Payment for booking #87906653",Cleared,£30.00,Free,£30.00,
636748722,15/May/2025,22/May/2025,"Owner fee payment for #87906501",Cleared,-£1.00,-£0.20,,-£1.20
636748718,15/May/2025,22/May/2025,"Payment for booking #87906501",Cleared,£40.00,Free,£40.00,
636645274,15/May/2025,15/May/2025,"Payment withdrawal",Cleared,-£100.88,Free,,-£100.88
636243064,14/May/2025,26/May/2025,"Owner fee payment for #87850294",Cleared,-£1.25,-£0.25,,-£1.50
636243060,14/May/2025,26/May/2025,"Payment for booking #87850294",Cleared,£50.00,Free,£50.00,
635871904,13/May/2025,14/Jun/2025,"Owner fee payment for #87808474",Cleared,-£2.60,-£0.52,,-£3.12
635871900,13/May/2025,14/Jun/2025,"Payment for booking #87808474",Cleared,£104.00,Free,£104.00,
635514196,12/May/2025,23/May/2025,"Owner fee payment for #87767251",Cleared,-£1.00,-£0.20,,-£1.20
635514192,12/May/2025,23/May/2025,"Payment for booking #87767251",Cleared,£40.00,Free,£40.00,
635357230,12/May/2025,12/May/2025,"Payment withdrawal",Cleared,-£122.22,Free,,-£122.22
635282376,12/May/2025,18/May/2025,"REFUND: Owner fee payment for #87525596",Cleared,£1.00,£0.20,£1.20,
635282372,12/May/2025,18/May/2025,"Payment for booking #87525596",Cleared,-£40.00,Free,-£40.00,
634929867,11/May/2025,13/Jun/2025,"Owner fee payment for #87701404",Cleared,-£2.60,-£0.52,,-£3.12
634929863,11/May/2025,13/Jun/2025,"Payment for booking #87701404",Cleared,£104.00,Free,£104.00,
634844349,11/May/2025,18/May/2025,"Owner fee payment for #87691498",Cleared,-£1.00,-£0.20,,-£1.20
634844345,11/May/2025,18/May/2025,"Payment for booking #87691498",Cleared,£40.00,Free,£40.00,
634832645,10/May/2025,08/Jul/2025,"Owner fee payment for #87690318",Cleared,-£5.25,-£1.05,,-£6.30
634832641,10/May/2025,08/Jul/2025,"Payment for booking #87690318",Cleared,£210.00,Free,£210.00,
634129761,09/May/2025,09/May/2025,"Payment withdrawal",Cleared,-£158.83,Free,,-£158.83
633696715,08/May/2025,08/May/2025,"Payment withdrawal",Cleared,-£854.88,Free,,-£854.88
633585353,08/May/2025,08/Jun/2025,"REFUND: Owner fee payment for #70688685",Cleared,£3.09,£0.62,£3.71,
633585349,08/May/2025,08/Jun/2025,"Payment for booking #70688685",Cleared,-£123.74,Free,-£123.74,
633476095,08/May/2025,08/Jun/2025,"Owner fee payment for #70688685",Cleared,-£3.09,-£0.62,,-£3.71
633476091,08/May/2025,08/Jun/2025,"Payment for booking #70688685",Cleared,£123.74,Free,£123.74,
633354517,07/May/2025,18/May/2025,"Owner fee payment for #87525596",Cleared,-£1.00,-£0.20,,-£1.20
633354513,07/May/2025,18/May/2025,"Payment for booking #87525596",Cleared,£40.00,Free,£40.00,
633049979,07/May/2025,07/Jun/2025,"Owner fee payment for #86076596",Cleared,-£2.64,-£0.53,,-£3.17
633049975,07/May/2025,07/Jun/2025,"Payment for booking #86076596",Cleared,£105.60,Free,£105.60,
633049187,07/May/2025,07/Jun/2025,"Owner fee payment for #85883842",Cleared,-£2.60,-£0.52,,-£3.12
633049183,07/May/2025,07/Jun/2025,"Payment for booking #85883842",Cleared,£104.00,Free,£104.00,
632874843,06/May/2025,04/Jun/2025,"Owner fee payment for #87471254",Cleared,-£0.25,-£0.05,,-£0.30
